Hotel Name,Description Heading,Description,Price,Image URL,Location,Rating,Review Count
Hyatt Centric Midtown 5th Avenue New York,Description heading not available,Description not available,CA $745,https://images.trvl-media.com/lodging/39000000/38340000/38336200/38336179/7eb2fca2.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(593 reviews),(593 reviews)
Fairfield Inn & Suites New York Manhattan/Times Square South,Description heading not available,Description not available,CA $564,https://images.trvl-media.com/lodging/31000000/30680000/30674300/30674300/w4000h2663x0y0-70c3a481.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,168 reviews),(1,168 reviews)
Courtyard by Marriott New York Downtown Manhattan/Financial District,Description heading not available,Description not available,CA $566,https://images.trvl-media.com/lodging/37000000/36950000/36942900/36942819/bf3f369b.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,7.8 out of 10,(816 reviews),(816 reviews)
Hyatt Place New York Midtown South,Description heading not available,Description not available,CA $839,https://images.trvl-media.com/lodging/5000000/4870000/4867800/4867707/79aa8c62.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,145 reviews),(1,145 reviews)
Hilton New York Fashion District,Description heading not available,Description not available,CA $683,https://images.trvl-media.com/lodging/4000000/3120000/3117300/3117215/d605e637.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,8.2 out of 10,(1,033 reviews),(1,033 reviews)
Courtyard by Marriott New York Manhattan / Chelsea,Description heading not available,Description not available,CA $649,https://images.trvl-media.com/lodging/7000000/6530000/6521500/6521456/14b5eeb0.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,9.2 out of 10,(1,008 reviews),(1,008 reviews)
The Peninsula New York,Description heading not available,Description not available,CA $3,741,https://images.trvl-media.com/lodging/1000000/30000/23900/23855/a66ebb10.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,9.4 out of 10,(1,003 reviews),(1,003 reviews)
SpringHill Suites by Marriott New York Manhattan/Times Square South,Description heading not available,Description not available,CA $606,https://images.trvl-media.com/lodging/31000000/30680000/30674300/30674295/4fe777dd.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.4 out of 10,(1,428 reviews),(1,428 reviews)
Hampton Inn Manhattan Grand Central,Description heading not available,Description not available,CA $696,https://images.trvl-media.com/lodging/6000000/5520000/5511100/5511074/e3872319.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(1,152 reviews),(1,152 reviews)
Andaz 5th Avenue - a concept by Hyatt,Description heading not available,Description not available,CA $1,225,https://images.trvl-media.com/lodging/4000000/3510000/3505200/3505139/8dfd01bf.jpg?impolicy=resizecrop&rw=455&ra=fit,Central New York City,9.4 out of 10,(1,000 reviews),(1,000 reviews)
voco Times Square South New York, an IHG Hotel,Description heading not available,Description not available,CA $570,https://images.trvl-media.com/lodging/3000000/2180000/2170800/2170796/9b5362a0.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.6 out of 10,(1,005 reviews),(1,005 reviews)
InterContinental New York Barclay, an IHG Hotel,Description heading not available,Description not available,CA $807,https://images.trvl-media.com/lodging/1000000/30000/20600/20571/2867c764.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.8 out of 10,(1,006 reviews),(1,006 reviews)
Hyatt Herald Square New York,Description heading not available,Description not available,CA $812,https://images.trvl-media.com/lodging/4000000/4000000/3999100/3999100/d7e4efa7.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.4 out of 10,(1,007 reviews),(1,007 reviews)
InterContinental New York Times Square, an IHG Hotel,Description heading not available,Description not available,CA $641,https://images.trvl-media.com/lodging/4000000/3300000/3300000/3299967/9f028f1b.jpg?impolicy=resizecrop&rw=455&ra=fit,New York,8.4 out of 10,(1,106 reviews),(1,106 reviews)
The Time New York, part of JdV by Hyatt,Description heading not available,Description not available,CA $629,https://images.trvl-media.com/lodging/1000000/10000/8400/8354/ffbb509e.jpg?impolicy=resizecrop&rw=455&ra=fit,Theater District,8.0 out of 10,(1,008 reviews),(1,008 reviews)
SpringHill Suites by Marriott New York Manhattan/Chelsea,Description heading not available,Description not available,CA $602,https://images.trvl-media.com/lodging/64000000/63310000/63309000/63308941/ecb8dce9.jpg?impolicy=resizecrop&rw=455&ra=fit,Chelsea,8.8 out of 10,(481 reviews),(481 reviews)
